0.29,0.458,0.252,-0.8306
0.276,0.46,0.264,-0.0258
0.278,0.26,0.462,0.428
0.296,0.535,0.169,-0.9424
0.283,0.499,0.218,-0.9258
0.355,0.645,0.0,-0.5106
0.615,0.293,0.092,-0.946
0.224,0.512,0.265,0.7043
0.224,0.557,0.219,-0.5719
0.507,0.493,0.0,-0.802
0.334,0.349,0.317,-0.2688
0.404,0.112,0.483,-0.0772
0.341,0.531,0.128,-0.9925
0.434,0.445,0.121,-0.9928
0.245,0.755,0.0,-0.0772
0.363,0.591,0.047,-0.9881
0.0,1.0,0.0,0.0
0.129,0.775,0.096,-0.2247
0.122,0.767,0.111,-0.0772
0.0,1.0,0.0,0.0
0.201,0.541,0.258,0.8939
0.184,0.6,0.217,0.9292
0.242,0.53,0.227,-0.3818
0.207,0.529,0.265,0.834
0.341,0.545,0.114,-0.7184
0.105,0.67,0.225,0.3612
0.215,0.411,0.374,0.9236
0.242,0.507,0.251,0.0997
0.359,0.457,0.183,-0.992
0.223,0.559,0.217,-0.1248
0.41,0.368,0.222,-0.7317
0.191,0.539,0.27,0.8145
0.326,0.477,0.197,-0.7351
0.171,0.472,0.357,0.8866
0.327,0.392,0.281,-0.6249
0.17,0.487,0.343,0.8718
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.07,0.641,0.289,0.975
0.274,0.492,0.233,-0.8453
0.35,0.523,0.128,-0.9984
0.278,0.471,0.251,-0.2003
0.227,0.546,0.227,-0.6249
0.378,0.376,0.246,-0.8065
0.324,0.676,0.0,-0.34
0.138,0.57,0.292,0.9823
0.0,1.0,0.0,0.0
0.371,0.41,0.218,-0.6261
0.33,0.475,0.195,-0.866
0.401,0.503,0.096,-0.9609
0.388,0.438,0.175,-0.9614
0.0,0.246,0.754,0.8481
0.205,0.693,0.101,-0.7096
0.14,0.617,0.243,0.9136
0.413,0.456,0.131,-0.945
0.491,0.448,0.061,-0.9595
0.272,0.378,0.349,0.8004
0.369,0.507,0.124,-0.743
0.331,0.452,0.217,-0.3687
0.258,0.523,0.22,-0.4767
0.354,0.582,0.063,-0.9099
0.0,1.0,0.0,0.0
0.368,0.457,0.176,-0.9469
0.344,0.352,0.303,-0.8183
0.289,0.611,0.1,-0.5142
0.304,0.438,0.259,-0.6878
0.426,0.484,0.09,-0.9136
0.239,0.58,0.181,-0.7963
0.281,0.608,0.11,-0.6705
0.76,0.24,0.0,-0.8591
0.388,0.411,0.201,-0.6249
0.327,0.432,0.241,-0.6369
0.187,0.197,0.616,0.8658
0.259,0.277,0.464,0.836
0.246,0.754,0.0,-0.2411
0.046,0.382,0.572,0.9817
0.258,0.568,0.174,-0.8989
0.349,0.532,0.119,-0.9904
0.126,0.541,0.333,0.5106
0.209,0.546,0.245,0.1471
0.073,0.629,0.298,0.7783
0.0,0.756,0.244,0.4404
0.302,0.506,0.192,-0.9857
1.0,0.0,0.0,-0.9325
0.423,0.476,0.101,-0.9531
0.425,0.287,0.287,-0.5267
0.039,0.641,0.32,0.9073
0.0,1.0,0.0,0.0
0.592,0.408,0.0,-0.4404
0.218,0.437,0.345,0.5426
0.0,0.891,0.109,0.2023
0.445,0.394,0.161,-0.776
0.281,0.568,0.151,-0.9908
0.32,0.533,0.147,-0.9886
0.0,0.69,0.31,0.4019
0.519,0.421,0.061,-0.9617
0.264,0.581,0.154,-0.7233
0.312,0.528,0.16,-0.9834
0.422,0.407,0.172,-0.9134
0.438,0.37,0.191,-0.6124
0.283,0.581,0.136,-0.9517
0.21,0.575,0.215,0.0772
0.408,0.521,0.071,-0.9686
0.692,0.308,0.0,-0.6705
0.362,0.415,0.223,-0.5719
0.27,0.448,0.282,-0.3199
0.216,0.517,0.268,0.8607
0.25,0.612,0.138,-0.9969
0.292,0.536,0.172,-0.9752
0.751,0.11,0.138,-0.9022
0.25,0.447,0.303,0.8902
0.196,0.541,0.263,0.8417
0.157,0.366,0.476,0.9745
0.234,0.546,0.221,-0.6931
0.31,0.43,0.26,-0.6124
0.303,0.531,0.166,-0.9938
0.342,0.658,0.0,-0.6326
0.313,0.464,0.223,-0.2278
0.22,0.56,0.22,-0.25
0.438,0.454,0.107,-0.9825
0.296,0.704,0.0,-0.2732
0.183,0.647,0.17,-0.3956
0.332,0.441,0.227,-0.8718
0.215,0.622,0.163,-0.9932
0.412,0.588,0.0,-0.8591
0.747,0.057,0.195,-0.891
0.251,0.535,0.214,-0.1833
0.27,0.574,0.155,-0.9763
0.227,0.454,0.319,0.936
0.0,1.0,0.0,0.0
0.357,0.509,0.134,-0.9179
0.493,0.351,0.156,-0.9817
0.209,0.462,0.329,0.2263
0.299,0.418,0.283,-0.1788
0.284,0.541,0.176,-0.6597
0.287,0.478,0.236,-0.5187
0.0,1.0,0.0,0.0
0.296,0.468,0.236,-0.5571
0.312,0.625,0.062,-0.7351
0.287,0.496,0.217,-0.505
0.312,0.438,0.251,-0.9795
0.199,0.566,0.235,0.0903
0.225,0.469,0.306,0.5106
0.076,0.434,0.49,0.8875
0.343,0.58,0.077,-0.9144
0.235,0.551,0.213,-0.9054
0.623,0.218,0.159,-0.9607
0.327,0.523,0.15,-0.3296
0.337,0.374,0.289,-0.2263
0.171,0.662,0.167,-0.3142
1.0,0.0,0.0,-0.7783
0.404,0.516,0.08,-0.9735
0.304,0.411,0.285,-0.6724
0.548,0.358,0.095,-0.9736
0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0
0.548,0.287,0.166,-0.9921
0.247,0.415,0.339,0.9118
0.423,0.462,0.115,-0.9287
0.325,0.318,0.357,-0.4019
0.186,0.466,0.347,0.5859
0.382,0.49,0.127,-0.5574
0.887,0.049,0.064,-0.9565
0.314,0.37,0.315,0.2681
0.12,0.449,0.43,0.9427
0.308,0.437,0.255,-0.5191
0.224,0.466,0.31,0.9822
0.271,0.548,0.181,-0.743
0.627,0.296,0.077,-0.8834
0.306,0.313,0.381,0.8645
0.262,0.498,0.239,-0.948
0.313,0.443,0.244,-0.7936
0.615,0.385,0.0,-0.4939
0.337,0.365,0.298,-0.5994
0.202,0.589,0.209,-0.2672
0.24,0.621,0.139,-0.9568
0.398,0.212,0.39,-0.2939
0.298,0.398,0.304,-0.4988
0.262,0.539,0.199,-0.9854
0.256,0.621,0.123,-0.9904
0.522,0.222,0.256,-0.886
0.299,0.585,0.117,-0.978
0.787,0.213,0.0,-0.8126
0.279,0.563,0.158,-0.9969
0.202,0.502,0.297,0.9733
0.122,0.363,0.515,0.9032
0.28,0.396,0.324,-0.0043
0.323,0.486,0.191,-0.8803
0.535,0.465,0.0,-0.3182
0.405,0.442,0.153,-0.9131
0.159,0.52,0.321,0.8323
0.445,0.297,0.258,-0.8126
0.165,0.613,0.222,0.1897
0.391,0.415,0.195,-0.6656
0.462,0.364,0.174,-0.8834
0.129,0.445,0.426,0.8847
0.352,0.53,0.118,-0.993
0.294,0.46,0.247,-0.749
0.208,0.627,0.164,-0.7181
0.75,0.0,0.25,-0.5574
0.376,0.422,0.202,-0.8114
0.135,0.663,0.203,0.8333
0.385,0.539,0.076,-0.9811
0.554,0.412,0.034,-0.9595
0.372,0.395,0.233,-0.5423
0.388,0.312,0.301,-0.7627
0.339,0.383,0.279,-0.2732
0.0,0.855,0.145,0.296
0.275,0.644,0.081,-0.7096
0.212,0.466,0.323,0.7044
0.325,0.409,0.266,-0.3753
0.0,0.0,1.0,0.296
0.155,0.69,0.155,-0.25
0.163,0.724,0.113,-0.8616
0.215,0.533,0.252,0.791
0.315,0.523,0.162,-0.7758
0.217,0.376,0.407,0.9824
0.32,0.414,0.266,-0.7484
0.399,0.315,0.286,-0.9268
0.0,0.692,0.308,0.6002
0.131,0.806,0.064,-0.6602
0.177,0.549,0.274,0.765
0.227,0.644,0.129,-0.8658
0.222,0.46,0.318,0.7959
0.137,0.49,0.373,0.5267
0.143,0.357,0.5,0.7184
0.279,0.501,0.22,-0.9766
0.318,0.51,0.172,-0.9042
0.181,0.52,0.299,0.972
0.408,0.367,0.224,-0.9005
0.371,0.456,0.173,-0.9707
0.238,0.641,0.121,-0.8316
0.33,0.453,0.217,-0.9136
0.21,0.567,0.223,0.0665
0.27,0.698,0.032,-0.8481
0.15,0.615,0.235,0.0516
0.127,0.7,0.173,0.8453
0.251,0.568,0.181,-0.847
0.205,0.435,0.361,0.9058
0.452,0.442,0.106,-0.9471
0.505,0.495,0.0,-0.7279
0.282,0.488,0.23,-0.9449
0.416,0.434,0.15,-0.9736
0.349,0.324,0.327,-0.4475
0.098,0.4,0.503,0.7244
0.27,0.537,0.192,-0.9764
0.251,0.56,0.189,-0.9866
0.0,0.494,0.506,0.8817
0.426,0.396,0.177,-0.9529
0.592,0.408,0.0,-0.4404
0.202,0.464,0.334,0.9512
0.251,0.576,0.173,-0.3612
0.24,0.418,0.342,0.5663
0.288,0.546,0.167,-0.9798
0.577,0.423,0.0,-0.6249
0.335,0.492,0.172,-0.9389
0.182,0.568,0.25,0.7861
0.109,0.544,0.347,0.8481
0.0,0.694,0.306,0.6808
0.423,0.577,0.0,-0.9626
0.285,0.498,0.217,-0.9635
0.379,0.439,0.181,-0.9159
0.128,0.6,0.272,0.9927
0.181,0.696,0.123,-0.8982
0.36,0.64,0.0,-0.6705
0.296,0.538,0.166,-0.9967
0.22,0.78,0.0,-0.828
0.461,0.419,0.119,-0.891
0.23,0.673,0.097,-0.9365
0.055,0.63,0.315,0.8519
0.169,0.658,0.173,0.0258
0.419,0.449,0.132,-0.9881
0.577,0.336,0.087,-0.8074
0.163,0.794,0.043,-0.6808
0.0,1.0,0.0,0.0
0.188,0.56,0.252,0.7183
0.153,0.509,0.338,0.4417
0.127,0.673,0.199,0.2665
0.254,0.53,0.216,-0.0936
0.175,0.568,0.258,0.4404
0.227,0.557,0.216,-0.121
0.41,0.375,0.214,-0.9792
0.273,0.571,0.156,-0.4404
0.205,0.518,0.277,0.7964
0.135,0.563,0.302,0.7945
0.283,0.398,0.319,0.0697
0.182,0.649,0.169,-0.0258
0.112,0.798,0.09,-0.1102
0.296,0.625,0.079,-0.7487
0.169,0.618,0.213,0.8713
0.353,0.537,0.11,-0.9299
0.197,0.395,0.408,0.5859
0.322,0.447,0.231,-0.9028
0.441,0.253,0.305,-0.9591
0.171,0.182,0.647,0.8779
0.083,0.565,0.351,0.8402
0.205,0.551,0.244,0.8645
0.397,0.326,0.277,-0.6369
0.465,0.411,0.125,-0.9761
0.115,0.619,0.266,0.9442
0.469,0.377,0.154,-0.991
0.465,0.446,0.089,-0.9382
0.368,0.512,0.12,-0.966
0.234,0.58,0.186,-0.9914
0.437,0.448,0.116,-0.9476
0.14,0.623,0.237,0.5868
0.524,0.476,0.0,-0.5106
0.34,0.224,0.437,0.1531
0.264,0.441,0.295,0.3235
0.0,0.104,0.896,0.8225
0.246,0.51,0.244,-0.4946
0.349,0.503,0.148,-0.7783
0.23,0.603,0.166,-0.8137
0.206,0.654,0.14,-0.9166
0.267,0.42,0.313,-0.2023
0.165,0.624,0.212,0.5832
0.254,0.354,0.393,0.4067
0.0,1.0,0.0,0.0
0.337,0.437,0.227,-0.8838
0.165,0.544,0.291,0.904
0.171,0.66,0.169,-0.2962
0.298,0.564,0.138,-0.9153
0.448,0.552,0.0,-0.9186
